DATAFLOW,LAST UPDATE,freq,leg_form,farmtype,so_eur,crops,uaarea,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Hungary,2020,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Ireland,2010,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Ireland,2013,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Italy,2010,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Italy,2013,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Italy,2016,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Italy,2020,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Lithuania,2010,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Lithuania,2013,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Lithuania,2016,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Lithuania,2020,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Luxembourg,2010,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Luxembourg,2013,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Luxembourg,2016,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Luxembourg,2020,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Latvia,2010,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Latvia,2013,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Latvia,2016,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Latvia,2020,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Malta,2010,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Malta,2013,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Malta,2016,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Malta,2020,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Netherlands,2010,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Netherlands,2013,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Netherlands,2016,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Netherlands,2020,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Poland,2010,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Poland,2013,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Poland,2016,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Poland,2020,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Portugal,2010,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Portugal,2013,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Portugal,2016,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Portugal,2020,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Romania,2010,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Romania,2013,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Romania,2016,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Romania,2020,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Sweden,2010,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Sweden,2013,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Sweden,2016,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Sweden,2020,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Slovenia,2010,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Slovenia,2013,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Slovenia,2016,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Slovenia,2020,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Slovakia,2010,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Slovakia,2013,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Slovakia,2016,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Hectare,Slovakia,2020,0,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Austria,2010,1080,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Austria,2013,820,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Austria,2016,1070,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Austria,2020,540,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Belgium,2010,950,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Belgium,2013,420,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Belgium,2016,680,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Belgium,2020,700,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Bulgaria,2010,13150,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Bulgaria,2013,9550,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Bulgaria,2016,16570,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Bulgaria,2020,5460,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Cyprus,2010,490,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Cyprus,2013,230,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Cyprus,2016,240,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Cyprus,2020,390,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Czechia,2010,290,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Czechia,2013,290,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Czechia,2016,360,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Czechia,2020,470,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Germany,2010,1410,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Germany,2013,2870,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Germany,2016,3770,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Germany,2020,3920,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Denmark,2010,860,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Denmark,2013,900,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Denmark,2016,840,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Denmark,2020,1000,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Estonia,2010,150,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Estonia,2013,430,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Estonia,2016,620,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Estonia,2020,240,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Greece,2010,6190,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Greece,2013,5910,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Greece,2016,6200,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Greece,2020,5390,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Spain,2010,22500,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Spain,2013,20700,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Spain,2016,18100,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Spain,2020,7960,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Finland,2010,230,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Finland,2013,170,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Finland,2016,230,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Finland,2020,250,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,France,2010,9490,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,France,2013,8500,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,France,2016,8210,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,France,2020,4500,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Croatia,2010,230,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Croatia,2013,340,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Croatia,2016,1780,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Croatia,2020,2990,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Hungary,2010,37640,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Hungary,2013,33670,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Hungary,2016,64890,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Hungary,2020,18270,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Ireland,2010,30,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Ireland,2013,30,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Italy,2010,5290,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Italy,2013,880,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Italy,2016,1750,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Italy,2020,12500,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Lithuania,2010,260,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Lithuania,2013,70,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Lithuania,2016,190,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Lithuania,2020,1690,,
ESTAT:EF_M_FARMLEG(1.0),26/03/24 23:00:00,Annual,Total,Total,Total,Utilised agricultural area,Zero ha,Holding,Luxembourg,2010,20,,
