DATAFLOW,LAST UPDATE,freq,unit,crops,agprdmet,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2002,2.1,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2003,1.7,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2004,1.7,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2005,1.7,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2006,2.1,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2007,2.4,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2008,2.6,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2009,3,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2010,3.6,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2011,4.1,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2012,4.48,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2013,4.67,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2014,5.00,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2015,5.17,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2016,5.80,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2017,6.28,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2018,6.56,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2019,6.85,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2020,7.25,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2021,7.48,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Belgium,2022,7.60,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2005,0.2,e,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2006,0.1,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2007,0.3,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2008,0.3,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2009,0.2,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2010,0.5,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2011,0.5,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2012,0.76,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2013,1.13,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2014,0.96,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2015,2.37,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2016,3.20,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2017,2.72,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2018,2.56,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2019,2.34,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2020,2.30,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2021,1.71,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Bulgaria,2022,2.20,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Cyprus,2004,0.6,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Cyprus,2005,1,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Cyprus,2006,1.2,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Cyprus,2007,1.5,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Cyprus,2008,1.6,e,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Cyprus,2009,2.6,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Cyprus,2010,2.8,e,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Cyprus,2011,2.9,e,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Cyprus,2012,3.38,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Cyprus,2013,4.03,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Cyprus,2014,3.63,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Cyprus,2015,3.72,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Cyprus,2016,4.94,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Cyprus,2017,4.61,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Cyprus,2018,4.55,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Cyprus,2019,4.98,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Cyprus,2020,4.63,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Cyprus,2021,6.43,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Cyprus,2022,6.30,p,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Czechia,2003,7,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Czechia,2004,7.2,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Czechia,2005,7.1,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Czechia,2006,7.2,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Czechia,2007,8.2,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Czechia,2008,9,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Czechia,2009,10.6,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Czechia,2010,12.4,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Czechia,2011,13.1,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Czechia,2012,13.29,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Czechia,2013,13.47,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Czechia,2014,13.44,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Czechia,2015,13.68,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Czechia,2016,14.00,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Czechia,2017,14.09,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Czechia,2018,14.76,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Czechia,2019,15.19,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Czechia,2020,15.33,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Czechia,2021,15.55,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Czechia,2022,15.97,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Germany,2000,3.2,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Germany,2001,3.7,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Germany,2002,4.1,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Germany,2003,4.3,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Germany,2004,4.5,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Germany,2005,4.7,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Germany,2006,4.9,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Germany,2007,5.1,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Germany,2008,5.4,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Germany,2009,5.6,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Germany,2010,5.9,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Germany,2011,6.1,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Germany,2012,5.76,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Germany,2013,6.04,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Germany,2014,6.18,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Germany,2015,6.34,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Germany,2016,6.82,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Germany,2017,6.82,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Germany,2018,7.34,e,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Germany,2019,7.75,e,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Germany,2020,9.59,e,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Germany,2021,9.65,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Germany,2022,9.83,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Denmark,2000,5.9,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Denmark,2001,6.3,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Denmark,2002,6.5,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Denmark,2003,6.3,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Denmark,2004,5.8,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Denmark,2005,4.9,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Denmark,2006,5.1,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Denmark,2007,5,e,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Denmark,2008,5.6,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Denmark,2009,5.9,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Denmark,2010,6.1,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Denmark,2011,6.1,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Denmark,2012,7.31,,
ESTAT:SDG_02_40(1.0),27/01/25 23:00:00,Annual,Percentage of total utilised agricultural area,Utilised agricultural area excluding kitchen gardens,Total fully converted and under conversion to organic farming,Denmark,2013,6.44,,
