DATAFLOW,LAST UPDATE,freq,indic_em,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Belgium,2009,1984,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Belgium,2010,2018,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Belgium,2011,2036,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Belgium,2012,2046,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Belgium,2013,2065,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Belgium,2014,2095,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Belgium,2015,2102,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Belgium,2016,2107,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Belgium,2017,2126,b,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Belgium,2018,2204,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Belgium,2019,2245,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Belgium,2020,2218,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Belgium,2021,2259,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Belgium,2022,2331,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Belgium,2023,2347,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Bulgaria,2009,1479,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Bulgaria,2010,1398,b,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Bulgaria,2011,1364,b,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Bulgaria,2012,1356,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Bulgaria,2013,1350,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Bulgaria,2014,1364,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Bulgaria,2015,1382,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Bulgaria,2016,1366,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Bulgaria,2017,1414,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Bulgaria,2018,1413,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Bulgaria,2019,1364,b,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Bulgaria,2020,1308,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Bulgaria,2021,1304,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Bulgaria,2022,1337,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Bulgaria,2023,1332,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Cyprus,2009,175,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Cyprus,2010,183,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Cyprus,2011,186,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Cyprus,2012,181,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Cyprus,2013,173,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Cyprus,2014,176,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Cyprus,2015,172,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Cyprus,2016,172,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Cyprus,2017,179,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Cyprus,2018,188,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Cyprus,2019,196,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Cyprus,2020,197,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Cyprus,2021,206,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Cyprus,2022,218,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Cyprus,2023,227,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Czechia,2009,2081,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Czechia,2010,2057,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Czechia,2011,2064,b,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Czechia,2012,2079,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Czechia,2013,2104,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Czechia,2014,2120,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Czechia,2015,2159,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Czechia,2016,2210,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Czechia,2017,2251,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Czechia,2018,2285,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Czechia,2019,2288,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Czechia,2020,2245,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Czechia,2021,2237,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Czechia,2022,2224,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Czechia,2023,2145,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Germany,2009,17178,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Germany,2010,17090,b,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Germany,2011,17474,b,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Germany,2012,17573,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Germany,2013,17817,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Germany,2014,17969,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Germany,2015,18125,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Germany,2016,18541,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Germany,2017,18678,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Germany,2018,18775,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Germany,2019,19003,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Germany,2020,18616,b,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Germany,2021,18797,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Germany,2022,19245,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Germany,2023,19473,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Denmark,2009,1271,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Denmark,2010,1248,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Denmark,2011,1234,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Denmark,2012,1227,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Denmark,2013,1225,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Denmark,2014,1224,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Denmark,2015,1240,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Denmark,2016,1268,b,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Denmark,2017,1284,b,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Denmark,2018,1303,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Denmark,2019,1320,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Denmark,2020,1309,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Denmark,2021,1330,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Denmark,2022,1378,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Denmark,2023,1384,b,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Estonia,2009,296,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Estonia,2010,285,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Estonia,2011,290,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Estonia,2012,298,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Estonia,2013,298,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Estonia,2014,296,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Estonia,2015,300,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Estonia,2016,299,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Estonia,2017,308,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Estonia,2018,306,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Estonia,2019,307,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Estonia,2020,302,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Estonia,2021,301,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Estonia,2022,312,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Estonia,2023,323,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Greece,2009,1794,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Greece,2010,1744,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Greece,2011,1624,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Greece,2012,1490,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Greece,2013,1417,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Greece,2014,1448,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Greece,2015,1486,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Greece,2016,1500,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Greece,2017,1526,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Greece,2018,1538,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Greece,2019,1593,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Greece,2020,1515,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Greece,2021,1622,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Greece,2022,1709,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Greece,2023,1751,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Spain,2009,8314,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Spain,2010,8236,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Spain,2011,8203,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Spain,2012,7957,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Spain,2013,7765,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Spain,2014,7847,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Spain,2015,8041,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Spain,2016,8272,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Spain,2017,8487,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Spain,2018,8717,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Spain,2019,8945,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Spain,2020,8669,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Spain,2021,8978,d,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Spain,2022,9295,d,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Spain,2023,9658,d,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Finland,2009,1177,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Finland,2010,1157,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Finland,2011,1160,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Finland,2012,1169,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Finland,2013,1160,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Finland,2014,1157,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Finland,2015,1145,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Finland,2016,1141,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Finland,2017,1148,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Finland,2018,1179,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Finland,2019,1189,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Finland,2020,1169,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,Total employment (resident population concept - LFS),Females,From 15 to 64 years,Thousand persons,Finland,2021,1198,,
