DATAFLOW,LAST UPDATE,freq,incgrp,building,deg_urb,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Belgium,2019,29.5,b,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Belgium,2020,30,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Belgium,2021,30.2,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Belgium,2022,29.7,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Belgium,2023,29.9,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Belgium,2024,29.8,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Bulgaria,2005,40.3,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Bulgaria,2006,40.3,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Bulgaria,2007,40.3,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Bulgaria,2008,39.7,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Bulgaria,2009,43,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Bulgaria,2010,44.2,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Bulgaria,2011,43.8,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Bulgaria,2012,42.8,b,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Bulgaria,2013,43,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Bulgaria,2014,39.5,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Bulgaria,2015,43.7,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Bulgaria,2016,44.3,b,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Bulgaria,2017,44.1,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Bulgaria,2018,45.3,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Bulgaria,2019,44.8,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Bulgaria,2020,44.8,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Bulgaria,2021,44.3,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Bulgaria,2022,43.7,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Bulgaria,2023,44.7,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Bulgaria,2024,44.9,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Cyprus,2005,57.6,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Cyprus,2006,57.6,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Cyprus,2007,57.1,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Cyprus,2008,56,b,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Cyprus,2009,55.4,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Cyprus,2010,55.4,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Cyprus,2011,55.4,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Cyprus,2012,51.5,b,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Cyprus,2013,51.4,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Cyprus,2014,51.2,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Cyprus,2015,49.5,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Cyprus,2016,49.7,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Cyprus,2017,50.5,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Cyprus,2018,50.7,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Cyprus,2019,51.8,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Cyprus,2020,59.6,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Cyprus,2021,59.6,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Cyprus,2022,59.9,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Cyprus,2023,60.3,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Czechia,2005,35.2,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Czechia,2006,34.4,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Czechia,2007,34.9,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Czechia,2008,34.8,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Czechia,2009,35.3,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Czechia,2010,35.5,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Czechia,2011,35.2,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Czechia,2012,30.2,b,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Czechia,2013,29.9,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Czechia,2014,31.5,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Czechia,2015,30.3,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Czechia,2016,30.2,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Czechia,2017,30.1,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Czechia,2018,30,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Czechia,2019,30,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Czechia,2020,30.3,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Czechia,2021,30.6,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Czechia,2022,30.3,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Czechia,2023,30.4,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Germany,2005,45.9,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Germany,2006,48.3,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Germany,2007,50.7,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Germany,2008,50.6,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Germany,2009,49.7,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Germany,2010,48.9,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Germany,2011,48.6,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Germany,2012,35.3,b,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Germany,2013,34.8,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Germany,2014,35.4,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Germany,2015,35.8,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Germany,2016,36.1,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Germany,2017,36.6,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Germany,2018,36.3,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Germany,2019,36.3,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Germany,2020,39,b,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Germany,2021,38.7,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Germany,2022,39,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Germany,2023,39.5,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Germany,2024,39,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Denmark,2003,32,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Denmark,2004,32.9,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Denmark,2005,33.2,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Denmark,2006,33.9,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Denmark,2007,33.3,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Denmark,2008,33.3,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Denmark,2009,33.6,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Denmark,2010,33.4,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Denmark,2011,34,b,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Denmark,2012,33.2,b,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Denmark,2013,34.2,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Denmark,2014,34.2,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Denmark,2015,34.2,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Denmark,2016,31.9,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Denmark,2017,32.3,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Denmark,2018,32.5,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Denmark,2019,37.6,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Denmark,2020,37.2,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Denmark,2021,37.2,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Denmark,2022,36.8,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Denmark,2023,35.6,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Denmark,2024,34.4,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Estonia,2004,46.3,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Estonia,2005,45.7,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Estonia,2006,46,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Estonia,2007,46.2,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Estonia,2008,46.1,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Estonia,2009,45.9,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Estonia,2010,45.7,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Estonia,2011,45.7,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Estonia,2012,42,b,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Estonia,2013,42.1,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Estonia,2014,43.1,b,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Estonia,2015,43.8,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Estonia,2016,44,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Estonia,2017,43.9,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Estonia,2018,59.9,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Estonia,2019,61,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Estonia,2020,60.4,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Estonia,2021,44.3,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Estonia,2022,44,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Estonia,2023,44.2,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Estonia,2024,45,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Greece,2003,40.7,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Greece,2004,40.6,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Greece,2005,40.5,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Greece,2006,38.6,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Greece,2007,40.3,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Greece,2008,39.8,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Greece,2009,41.1,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Greece,2010,43.8,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Greece,2011,43.2,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Greece,2012,47.8,b,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Greece,2013,41.9,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Greece,2014,38,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Greece,2015,38.2,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Greece,2016,39.2,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Greece,2017,38.3,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Greece,2018,39.6,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Greece,2019,36.9,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Greece,2020,36.4,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Greece,2021,38,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Greece,2022,39.9,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Greece,2023,41.8,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Spain,2004,51.4,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Spain,2005,51.9,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Spain,2006,51.7,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Spain,2007,51.9,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Spain,2008,51.2,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Spain,2009,51.4,b,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Spain,2010,51.2,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Spain,2011,50.8,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Spain,2012,50.4,b,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Spain,2013,49.9,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Spain,2014,51.1,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Spain,2015,51.2,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Spain,2016,51.4,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Spain,2017,51.5,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Spain,2018,50.7,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Spain,2019,49.6,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Spain,2020,50.6,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Spain,2021,55.6,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Spain,2022,54.5,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Spain,2023,54.4,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Spain,2024,54.1,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Finland,2004,27.2,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Finland,2005,27.1,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Finland,2006,26.5,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Finland,2007,27.1,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Finland,2008,26.7,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Finland,2009,26.8,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Finland,2010,25.7,,
ESTAT:ILC_LVHO01(1.0),14/02/25 11:00:00,Annual,Total,Total,Cities,Percentage,Finland,2011,26.2,,
