DATAFLOW,LAST UPDATE,freq,unit,landuse,terrtypo,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,2007,9250,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,2008,9250,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,2009,9250,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,2010,9251,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,2011,9251,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,2012,9251,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,2013,9253,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,2014,9253,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,2015,9253,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,2016,9253,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,2017,9253,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,2018,9253,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,2019,9253,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,2020,9253,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,2021,9253,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,2022,9253,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Cyprus,2023,9253,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Czechia,2000,38294,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Czechia,2001,38293.7,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Czechia,2002,38293.2,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Czechia,2003,38295.3,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Czechia,2004,38295.7,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Czechia,2005,38425.3,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Czechia,2006,38424.3,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Czechia,2007,38423.6,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Czechia,2008,38423.6,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Czechia,2009,38422.5,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Czechia,2010,38422,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Czechia,2011,38421.8,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Czechia,2012,38422.8,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Czechia,2013,38424,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Czechia,2014,38424,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Czechia,2015,38424,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Czechia,2016,38424,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Czechia,2017,38424,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Czechia,2018,38424,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Czechia,2019,38424,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Czechia,2020,38424,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Czechia,2021,38424,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Czechia,2022,38424,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Czechia,2023,38424,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Germany,2013,177739,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Germany,2014,177739,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Germany,2015,177739,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Germany,2016,177739,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Germany,2017,177739,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Germany,2018,177571,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Germany,2019,177571,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Germany,2020,177571,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Germany,2021,177571,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Germany,2022,177571,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Germany,2023,177571,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Denmark,2005,20373.3,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Denmark,2006,20373.3,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Denmark,2007,20373.3,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Denmark,2008,20373.3,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Denmark,2009,20373.3,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Denmark,2010,20373.3,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Denmark,2011,20419.9,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Denmark,2012,20354.7,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Denmark,2013,20355,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Denmark,2014,20355,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Denmark,2015,20355,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Denmark,2016,20355,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Denmark,2017,20355,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Denmark,2018,20355,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Denmark,2019,20355,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Denmark,2020,20355,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Denmark,2021,20355,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Denmark,2022,20355,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Denmark,2023,20355,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,1995,3364,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,1996,3364,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,1997,3364,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,1998,3364,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,1999,3364,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,2000,3364,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,2001,3364,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,2002,3364,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,2003,3364,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,2004,3364,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,2005,3364,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,2006,4893,b,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,2007,4893,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,2008,4893,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,2009,4893,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,2010,4893,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,2011,4893,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,2012,4893,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,2013,4019,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,2014,4019,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,2015,4019,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,2016,4019,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,2017,4019,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,2018,4019,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,2019,4019,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,2020,4019,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,2021,,m,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,2022,,m,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Estonia,2023,,m,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Greece,1995,37296,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Greece,1996,37296,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Greece,1997,37296,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Greece,1998,37296,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Greece,1999,37296,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Greece,2000,37296,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Greece,2001,37296,,
ESTAT:URT_D3AREA(1.0),09/02/24 23:00:00,Annual,Square kilometre,Total area,Intermediate regions,Greece,2002,37296,,
