DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,2012,231711.3,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,2013,235898.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,2014,240744.5,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,2015,247477.5,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,2016,255402.3,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,2017,264065.9,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,2018,272355.9,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,2019,280013.9,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,2020,269644.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,2021,290307.4,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,2022,320312.7,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Austria,2023,344045.7,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,1995,163776.9,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,1996,165407.9,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,1997,164632.6,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,1998,170978.9,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,1999,177744.4,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,2000,188058.2,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,2001,194865.3,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,2002,201321.7,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,2003,207182.2,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,2004,215012.6,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,2005,224102.4,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,2006,234066.7,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,2007,244868.2,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,2008,258145.8,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,2009,263999.8,b,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,2010,276470.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,2011,286874.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,2012,297534.9,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,2013,304019.7,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,2014,309875.2,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,2015,315770.8,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,2016,324091.9,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,2017,335585.8,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,2018,348111.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,2019,358888.2,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,2020,345437.9,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,2021,372881.5,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,2022,419974.9,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Belgium,2023,448849.9,p,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,1995,10573.3,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,1996,8617.8,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,1997,7808.6,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,1998,10004.8,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,1999,10849.4,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,2000,12456.3,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,2001,13991.5,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,2002,15284.1,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,2003,16562.4,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,2004,18502.4,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,2005,20894.4,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,2006,23308.2,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,2007,27665.2,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,2008,30843.6,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,2009,29828.1,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,2010,30887.2,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,2011,32554.9,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,2012,34392.3,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,2013,33456.8,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,2014,34264.4,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,2015,35797.4,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,2016,37110.7,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,2017,39815.4,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,2018,42782.4,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,2019,46575.5,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,2020,47884.5,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,2021,54832.8,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,2022,65594.1,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Bulgaria,2023,72119.2,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,1995,5646.1,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,1996,6014.7,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,1997,6509.5,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,1998,7182.5,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,1999,7630.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,2000,8334.7,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,2001,9015.1,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,2002,9491.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,2003,10166.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,2004,10907.7,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,2005,11779.3,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,2006,12786.8,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,2007,14193.5,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,2008,15990.4,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,2009,15466.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,2010,16453.6,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,2011,16911.3,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,2012,16760.1,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,2013,15472.8,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,2014,14992.1,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,2015,15058.6,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,2016,15401.2,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,2017,16241.4,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,2018,17371.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,2019,18602.3,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,2020,18060.6,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,2021,19372.1,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,2022,22288.8,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Cyprus,2023,24518.9,p,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,1995,32057.3,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,1996,36840.7,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,1997,39406.6,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,1998,41855.4,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,1999,43478.3,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,2000,47199.2,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,2001,52707.2,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,2002,62193.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,2003,64021.9,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,2004,67341.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,2005,75513.2,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,2006,83700.4,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,2007,90934.1,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,2008,108177.1,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,2009,104029.1,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,2010,112040.3,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,2011,115989.4,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,2012,113979.4,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,2013,112272.2,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,2014,108692.4,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,2015,114295.3,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,2016,120485.2,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,2017,132389.9,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,2018,145780.5,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,2019,155384.1,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,2020,150975.1,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,2021,167656.1,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,2022,195601.5,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Czechia,2023,212598.9,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,1991,1127496.8,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,1992,1239294.7,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,1993,1346113.5,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,1994,1407159.1,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,1995,1490660.5,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,1996,1498842.6,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,1997,1480179.2,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,1998,1501956.7,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,1999,1572494.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,2000,1615780.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,2001,1661443.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,2002,1685305.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,2003,1720992.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,2004,1743047.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,2005,1774779.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,2006,1817751.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,2007,1851318.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,2008,1898685.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,2009,1925935.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,2010,1970951.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,2011,2029383.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,2012,2085128.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,2013,2133724.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,2014,2188259.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,2015,2256248.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,2016,2333227.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,2017,2411770.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,2018,2489022.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,2019,2582621.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,2020,2517814.0,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,2021,2661024.0,p,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,2022,2944908.0,p,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,2023,3110779.0,p,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Germany,2024,3225794.0,p,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Denmark,1975,25590.2,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Denmark,1976,31474.5,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Denmark,1977,34455.8,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Denmark,1978,37473.5,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Denmark,1979,40726.2,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Denmark,1980,40944.5,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Denmark,1981,45038.4,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Denmark,1982,49559.9,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Denmark,1983,53835.3,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Denmark,1984,58108.3,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Denmark,1985,63589.5,,
ESTAT:NAMA_10_GDP(1.0),17/02/25 23:00:00,Annual,"Current prices, million euro",Final consumption expenditure,Denmark,1986,68298.9,,
